DATE,RMIDVLTR
2016-03-18,2929.52
2016-03-21,2926.13
2016-03-22,2925.75
2016-03-23,2893.64
2016-03-24,2895.23
2016-03-25,.
2016-03-28,2901.58
2016-03-29,2936.58
2016-03-30,2942.53
2016-03-31,2948.10
2016-04-01,2955.71
2016-04-04,2932.31
2016-04-05,2901.53
2016-04-06,2922.59
2016-04-07,2892.98
2016-04-08,2914.00
2016-04-11,2914.49
2016-04-12,2948.91
2016-04-13,2979.91
2016-04-14,2971.82
2016-04-15,2976.73
2016-04-18,2992.99
2016-04-19,3018.42
2016-04-20,3011.25
2016-04-21,2980.90
2016-04-22,3008.20
2016-04-25,2994.87
2016-04-26,3021.08
2016-04-27,3047.52
2016-04-28,3019.41
2016-04-29,3011.41
2016-05-02,3032.67
2016-05-03,2996.23
2016-05-04,2986.36
2016-05-05,2984.24
2016-05-06,2993.94
2016-05-09,2988.28
2016-05-10,3023.42
2016-05-11,3001.90
2016-05-12,3001.12
2016-05-13,2978.20
2016-05-16,3006.09
2016-05-17,2984.03
2016-05-18,2971.15
2016-05-19,2960.56
2016-05-20,2986.94
2016-05-23,2981.13
2016-05-24,3018.19
2016-05-25,3042.25
2016-05-26,3041.31
2016-05-27,3054.77
2016-05-30,.
2016-05-31,3060.72
2016-06-01,3066.16
2016-06-02,3078.81
2016-06-03,3073.85
2016-06-06,3091.99
2016-06-07,3105.38
2016-06-08,3118.64
2016-06-09,3113.41
2016-06-10,3070.96
2016-06-13,3047.08
2016-06-14,3033.39
2016-06-15,3038.71
2016-06-16,3038.19
2016-06-17,3049.17
2016-06-20,3071.65
2016-06-21,3080.39
2016-06-22,3074.63
2016-06-23,3119.90
2016-06-24,3004.32
2016-06-27,2919.94
2016-06-28,2983.16
2016-06-29,3037.59
2016-06-30,3088.63
2016-07-01,3098.31
2016-07-04,.
2016-07-05,3056.77
2016-07-06,3069.76
2016-07-07,3062.73
2016-07-08,3120.78
2016-07-11,3135.75
2016-07-12,3174.85
2016-07-13,3175.31
2016-07-14,3183.42
2016-07-15,3183.49
2016-07-18,3191.82
2016-07-19,3181.34
2016-07-20,3190.65
2016-07-21,3182.40
2016-07-22,3205.24
2016-07-25,3192.60
2016-07-26,3210.21
2016-07-27,3188.40
2016-07-28,3202.84
2016-07-29,3219.49
2016-08-01,3197.74
2016-08-02,3164.81
2016-08-03,3184.83
2016-08-04,3186.24
2016-08-05,3209.13
2016-08-08,3215.74
2016-08-09,3211.12
2016-08-10,3198.74
2016-08-11,3214.48
2016-08-12,3211.90
2016-08-15,3229.74
2016-08-16,3206.54
2016-08-17,3210.26
2016-08-18,3234.24
2016-08-19,3226.13
2016-08-22,3221.78
2016-08-23,3235.15
2016-08-24,3210.71
2016-08-25,3218.18
2016-08-26,3200.67
2016-08-29,3226.00
2016-08-30,3222.30
2016-08-31,3212.66
2016-09-01,3207.01
2016-09-02,3233.03
2016-09-05,.
2016-09-06,3242.90
2016-09-07,3256.91
2016-09-08,3253.54
2016-09-09,3153.80
2016-09-12,3199.81
2016-09-13,3134.91
2016-09-14,3126.47
2016-09-15,3156.44
2016-09-16,3146.68
2016-09-19,3162.07
2016-09-20,3150.97
2016-09-21,3201.26
2016-09-22,3233.42
2016-09-23,3214.39
2016-09-26,3196.83
2016-09-27,3194.49
2016-09-28,3231.78
2016-09-29,3203.00
2016-09-30,3226.05
2016-10-03,3205.69
2016-10-04,3180.92
2016-10-05,3198.62
2016-10-06,3197.22
2016-10-07,3180.74
2016-10-10,3199.18
2016-10-11,3153.70
2016-10-12,3161.29
2016-10-13,3153.33
2016-10-14,3148.74
2016-10-17,3142.53
2016-10-18,3164.39
2016-10-19,3184.51
2016-10-20,3178.81
2016-10-21,3170.55
2016-10-24,3176.34
2016-10-25,3160.57
2016-10-26,3155.81
2016-10-27,3134.42
2016-10-28,3135.67
2016-10-31,3147.87
2016-11-01,3117.67
2016-11-02,3083.05
2016-11-03,3079.91
2016-11-04,3082.15
2016-11-07,3145.02
2016-11-08,3155.70
2016-11-09,3192.60
2016-11-10,3208.00
2016-11-11,3213.45
2016-11-14,3261.25
2016-11-15,3289.51
2016-11-16,3270.57
2016-11-17,3282.09
2016-11-18,3283.24
2016-11-21,3311.82
2016-11-22,3332.04
2016-11-23,3340.80
2016-11-24,.
2016-11-25,3350.80
2016-11-28,3329.24
2016-11-29,3328.69
2016-11-30,3344.83
2016-12-01,3337.57
2016-12-02,3347.06
2016-12-05,3375.31
2016-12-06,3397.10
2016-12-07,3447.86
2016-12-08,3467.77
2016-12-09,3470.72
2016-12-12,3454.36
2016-12-13,3463.06
2016-12-14,3413.12
2016-12-15,3422.48
2016-12-16,3421.25
2016-12-19,3433.15
2016-12-20,3448.99
2016-12-21,3437.18
2016-12-22,3427.99
2016-12-23,3434.24
2016-12-26,.
2016-12-27,3444.69
2016-12-28,3406.67
2016-12-29,3411.70
2016-12-30,3404.25
2017-01-02,.
2017-01-03,3433.31
2017-01-04,3474.13
2017-01-05,3460.06
2017-01-06,3463.98
2017-01-09,3432.96
2017-01-10,3439.19
2017-01-11,3452.61
2017-01-12,3439.29
2017-01-13,3446.07
2017-01-16,.
2017-01-17,3433.37
2017-01-18,3446.82
2017-01-19,3423.96
2017-01-20,3440.74
2017-01-23,3434.04
2017-01-24,3475.06
2017-01-25,3499.99
2017-01-26,3499.06
2017-01-27,3478.46
2017-01-30,3450.02
2017-01-31,3461.54
2017-02-01,3450.69
2017-02-02,3462.54
2017-02-03,3494.03
2017-02-06,3481.70
2017-02-07,3467.32
2017-02-08,3473.52
2017-02-09,3497.51
2017-02-10,3518.20
2017-02-13,3536.07
2017-02-14,3544.13
2017-02-15,3555.15
2017-02-16,3551.02
2017-02-17,3550.68
2017-02-20,.
2017-02-21,3579.47
2017-02-22,3564.09
2017-02-23,3557.66
2017-02-24,3560.90
2017-02-27,3575.72
2017-02-28,3558.22
2017-03-01,3603.63
2017-03-02,3568.41
2017-03-03,3571.05
2017-03-06,3551.80
2017-03-07,3532.88
2017-03-08,3505.57
2017-03-09,3492.39
2017-03-10,3504.93
2017-03-13,3512.06
2017-03-14,3495.28
2017-03-15,3544.96
2017-03-16,3536.09
2017-03-17,3537.79
2017-03-20,3524.52
2017-03-21,3469.87
2017-03-22,3474.65
2017-03-23,3480.72
2017-03-24,3479.34
2017-03-27,3472.13
2017-03-28,3505.13
2017-03-29,3517.58
2017-03-30,3531.61
2017-03-31,3532.28
2017-04-03,3517.08
2017-04-04,3521.90
2017-04-05,3504.25
2017-04-06,3530.02
2017-04-07,3524.67
